event_id,x,y,z,layer,track
6,6.22649,0.02032774,11.979,0,85
6,5.722657,-4.005752,11.979,0,433
6,5.158241,-3.82468,11.979,0,117
6,4.566856,-3.109797,11.979,0,11
6,3.868545,-1.281485,11.979,0,447
6,3.481388,-1.846108,11.979,0,12
6,2.766506,-4.416564,11.979,0,15
6,2.384509,-2.83818,11.979,0,13
6,1.911829,-0.09859313,11.979,0,112
6,1.663932,0.9033915,11.979,0,-1
6,1.663932,-0.1703935,11.979,0,89
6,1.663932,-1.095291,11.979,0,-1
6,1.663932,-3.399101,11.979,0,-1
6,1.526572,-2.242667,11.979,0,-1
6,1.526572,-3.316453,11.979,0,-1
6,1.526572,-4.24135,11.979,0,146
6,1.441773,-4.184893,11.979,0,147
6,1.135502,1.107919,11.979,0,-1
6,1.135502,-2.613981,11.979,0,65
6,1.008053,-1.811149,11.979,0,357
6,0.9315621,-3.563069,11.979,0,137
6,-4.930179,-1.265433,12.709,0,91
6,-2.064136,-3.342313,12.709,0,90
6,-0.3078396,-1.854286,12.709,0,361
6,-0.08120373,-0.0251021,12.709,0,434
6,0.5149058,1.434347,12.709,0,-1
6,0.5149058,0.9522744,12.709,0,-1
6,0.5149058,-3.704318,12.709,0,2
6,0.6640235,1.009543,12.709,0,-1
6,0.6640235,-1.981009,12.709,0,-1
6,0.6640235,-2.463082,12.709,0,62
6,0.7058145,1.345461,12.709,0,-1
6,0.7058145,0.05237133,12.709,0,-1
6,0.7058145,-2.93818,12.709,0,1
6,0.7058145,-3.420253,12.709,0,-1
6,0.7640231,0.01226637,12.709,0,-1
6,0.7640231,-1.280823,12.709,0,114
6,0.7640231,-4.271375,12.709,0,-1
6,0.9111887,-3.358382,12.709,0,137
6,4.7303,-5.479038,12.709,0,73
6,2.286765,-6.449352,12.709,0,-1
6,2.286765,-5.020256,12.709,0,139
6,2.259686,-5.829149,12.709,0,368
6,0.9878103,-8.726817,12.709,0,-1
6,0.9878103,-6.827541,12.709,0,364
6,0.8373148,-5.279903,12.709,0,32
6,-1.259459,-8.757207,11.979,0,123
6,-1.180619,-6.951468,11.979,0,16
6,6.215804,-3.908501,15.249,1,117
6,5.582638,1.416668,15.249,1,-1
6,5.582638,0.1573797,15.249,1,447
6,5.582638,-0.8357253,15.249,1,-1
6,5.393714,-2.910389,15.249,1,11
6,5.393714,-4.169677,15.249,1,-1
6,5.378814,-3.251666,15.249,1,-1
6,4.077802,-1.302109,15.249,1,12
6,2.663185,-0.8601835,15.249,1,-1
6,2.663185,-2.545211,15.249,1,13
6,2.663185,-4.125017,15.249,1,-1
6,2.574874,-2.882833,15.249,1,-1
6,2.093304,0.861016,15.249,1,112
6,1.824497,1.387569,15.249,1,-1
6,1.824497,-2.80266,15.249,1,104
6,1.580888,-1.769242,15.249,1,-1
6,1.580888,-4.191988,15.249,1,29
6,1.473365,-4.231939,15.249,1,147
6,1.097022,0.6838979,15.249,1,-1
6,1.097022,-2.280824,15.249,1,65
6,1.007088,0.3774007,15.249,1,-1
6,1.007088,-1.375927,15.249,1,357
6,0.8479738,-3.26692,15.249,1,137
6,0.758491,1.155932,15.249,1,-1
6,0.6666925,0.5632026,15.249,1,-1
6,0.6666925,-0.9465997,15.249,1,114
6,0.5978947,1.644839,15.249,1,-1
6,0.5978947,-1.012527,15.249,1,-1
6,0.5978947,-2.522329,15.249,1,1
6,0.5469384,0.477747,15.249,1,-1
6,0.5469384,-2.179619,15.249,1,62
6,0.5469384,-3.689421,15.249,1,-1
6,0.3667565,-3.649096,15.249,1,2
6,6.215804,-8.157688,15.249,1,68
6,5.393714,-5.329616,15.249,1,-1
6,5.378814,-4.677788,15.249,1,-1
6,5.378814,-5.670894,15.249,1,73
6,2.574874,-4.734694,15.249,1,-1
6,2.574874,-6.3145,15.249,1,368
6,2.480342,-5.214799,15.249,1,139
6,2.480342,-6.899826,15.249,1,-1
6,2.480342,-8.479632,15.249,1,-1
6,1.824497,-5.462503,15.249,1,-1
6,1.580888,-8.54905,15.249,1,-1
6,1.473365,-6.821518,15.249,1,-1
6,1.097022,-5.347545,15.249,1,-1
6,1.007088,-7.407369,15.249,1,364
6,0.8479738,-5.187081,15.249,1,-1
6,0.8479738,-8.151803,15.249,1,-1
6,0.758491,-5.483247,15.249,1,32
6,0.758491,-7.236575,15.249,1,-1
6,0.758491,-10.2013,15.249,1,-1
6,0.6666925,-7.585779,15.249,1,-1
6,0.6666925,-9.339107,15.249,1,-1
6,0.5978947,-9.161509,15.249,1,-1
6,0.5469384,-10.3286,15.249,1,-1
6,0.3667565,-6.473296,15.249,1,-1
6,0.3667565,-7.983099,15.249,1,-1
6,-3.769844,-2.496269,15.979,1,450
6,-2.76904,-3.232492,15.979,1,90
6,-2.010644,-4.818874,15.979,1,-1
6,-0.6372548,-1.238738,15.979,1,361
6,-0.5905531,1.053576,15.979,1,434
6,-0.5905531,-2.308382,15.979,1,-1
6,0.3243733,-3.598002,15.979,1,2
6,-2.010644,-10.21093,15.979,1,123
6,-1.88448,-7.875345,15.979,1,16
6,12.26701,4.891556,25.129,2,447
6,11.47351,4.018322,25.129,2,85
6,10.16783,5.691153,25.129,2,-1
6,8.707355,4.084015,25.129,2,373
6,10.16783,-3.810513,25.129,2,433
6,9.766205,-3.674505,25.129,2,117
6,7.956933,-2.209923,25.129,2,11
6,2.623766,6.115675,23.599,2,-1
6,2.623766,3.332279,23.599,2,112
6,1.020951,5.334085,23.599,2,-1
6,5.718695,0.09860205,23.599,2,12
6,3.410779,-1.795084,23.599,2,13
6,2.270708,-2.137526,23.599,2,104
6,1.750231,-0.2167659,23.599,2,-1
6,1.750231,-4.292824,23.599,2,29
6,1.569043,-4.366649,23.599,2,147
6,1.132953,1.131339,23.599,2,-1
6,1.132953,0.4544952,23.599,2,357
6,1.020951,-1.433916,23.599,2,65
6,1.020951,-2.110759,23.599,2,-1
6,0.6674805,-2.928559,23.599,2,137
6,-0.1848009,7.20943,24.909,2,-1
6,-0.1848009,6.084284,24.909,2,-1
6,0.1219702,5.672667,24.909,2,-1
6,0.2060709,3.746443,24.909,2,-1
6,-4.507349,-2.819648,24.909,2,90
6,-1.396214,0.5232798,24.909,2,361
6,-0.1848009,-3.497233,24.909,2,2
6,0.1219702,0.0163834,24.909,2,-1
6,0.1219702,-1.108763,24.909,2,62
6,0.2060709,-1.90984,24.909,2,1
