x,y,z,layer,track
6.22649,0.02032774,11.979,0,85
5.722657,-4.005752,11.979,0,433
5.158241,-3.82468,11.979,0,117
4.566856,-3.109797,11.979,0,11
3.868545,-1.281485,11.979,0,447
3.481388,-1.846108,11.979,0,12
2.766506,-4.416564,11.979,0,15
2.384509,-2.83818,11.979,0,13
1.911829,-0.09859313,11.979,0,112
1.663932,-0.1703935,11.979,0,89
1.526572,-4.24135,11.979,0,146
1.441773,-4.184893,11.979,0,147
1.135502,-2.613981,11.979,0,65
1.008053,-1.811149,11.979,0,357
0.9315621,-3.563069,11.979,0,137
-4.930179,-1.265433,12.709,0,91
-2.064136,-3.342313,12.709,0,90
-0.3078396,-1.854286,12.709,0,361
-0.08120373,-0.0251021,12.709,0,434
0.5149058,-3.704318,12.709,0,2
0.6640235,-2.463082,12.709,0,62
0.7058145,-2.93818,12.709,0,1
0.7640231,-1.280823,12.709,0,114
0.9111887,-3.358382,12.709,0,137
4.7303,-5.479038,12.709,0,73
2.286765,-5.020256,12.709,0,139
2.259686,-5.829149,12.709,0,368
0.9878103,-6.827541,12.709,0,364
0.8373148,-5.279903,12.709,0,32
-1.259459,-8.757207,11.979,0,123
-1.180619,-6.951468,11.979,0,16
6.215804,-3.908501,15.249,1,117
5.582638,0.1573797,15.249,1,447
5.393714,-2.910389,15.249,1,11
4.077802,-1.302109,15.249,1,12
2.663185,-2.545211,15.249,1,13
2.093304,0.861016,15.249,1,112
1.824497,-2.80266,15.249,1,104
1.580888,-4.191988,15.249,1,29
1.473365,-4.231939,15.249,1,147
1.097022,-2.280824,15.249,1,65
1.007088,-1.375927,15.249,1,357
0.8479738,-3.26692,15.249,1,137
0.6666925,-0.9465997,15.249,1,114
0.5978947,-2.522329,15.249,1,1
0.5469384,-2.179619,15.249,1,62
0.3667565,-3.649096,15.249,1,2
6.215804,-8.157688,15.249,1,68
5.378814,-5.670894,15.249,1,73
2.574874,-6.3145,15.249,1,368
2.480342,-5.214799,15.249,1,139
1.007088,-7.407369,15.249,1,364
0.758491,-5.483247,15.249,1,32
-3.769844,-2.496269,15.979,1,450
-2.76904,-3.232492,15.979,1,90
-0.6372548,-1.238738,15.979,1,361
-0.5905531,1.053576,15.979,1,434
0.3243733,-3.598002,15.979,1,2
-2.010644,-10.21093,15.979,1,123
-1.88448,-7.875345,15.979,1,16
12.26701,4.891556,25.129,2,447
11.47351,4.018322,25.129,2,85
8.707355,4.084015,25.129,2,373
10.16783,-3.810513,25.129,2,433
9.766205,-3.674505,25.129,2,117
7.956933,-2.209923,25.129,2,11
2.623766,3.332279,23.599,2,112
5.718695,0.09860205,23.599,2,12
3.410779,-1.795084,23.599,2,13
